Stream Item Text;KAT
Mon tro du må selv.;ANDET
Rolig nu.. Han er ikk født.. Se på Madonna Tina tuner osv..;ANDET
Det er ok, at vi kun får børnepenge til 2 børn. Man sætter vel ikke børn til verden, som man ikke har råd til selv at forsørge.;ANDET
Josefine Vonge Larsen siger det bare... Skal vi til Lolland eller hvad;ANDET
Det er så lamt at det ikke er grineren;ANDET
Haha børn er så søde ??;ANDET
Marc Rasmussen hjemme og bolle med konen ????;ANDET
Christian Kjems Vester se det hele, fucking fedt haha;ANDET
I bund og grund er jeg enig i de fleste af dine synspunkter, dog retfærdiggør beløbets størrelse fortsat ikke, brugen af det. Og at bruge pengene på fødselsdag har intet med hverken mod, at netværke, eller hvordan andre instanser burde agere anderledes, at gøre.Jeg er fuldstændig enig i, at vores politikere skal være modige, bare de overholder love og regler.;ANDET
Ja men jeg bruger kun 5 så det går lige op ??;ANDET
MobilPay ?? hvorfor nøjes med  Apple! ??;ANDET
Det lyder godt nok ulækre;ANDET
Jeg synes virkelig han har ret;ANDET
Tror det har været så vi må afsted næste år;ANDET
Når jeg handler tænker jeg mest på hygiejnen,-når jeg når til frugt og grønsags-afdelingen.????????;ANDET
Michelle Bromberg Olsen ??????????;ANDET
Stine Aamand ja haha ??;ANDET
Sindri 'Bugu' Berg Sævarsson Tiesto a tinderbox;ANDET
Malou Bender Rasmussen Tine Bender Rasmussen Thomas Bender Rasmussen;ANDET
Alexander kunne være fedt;ANDET
Hvis man betaler en masse skatter og afgifter i Danmark, er det kun rimeligt man får indflydelse på hvad pengene bruges på.;ANDET
Jeg vil hellere i dette fængsel end bo på et plejehjem. Det er helt vanvittigt med disse forhold. Til alle fanger  - God ferie, for i mine øjne er dette fængsel ingen straf.;ANDET
Det er hvad der sker når man leger firkantet med nyuddannede politikadetter. Så de står og kikker.I min verden svarer det til, at man trækker hestene ud af stalden, sætter sadler pp og stiller dem ind i stalden igen.;ANDET
