tekst;kat
- At USA har besluttet at skære støtten er både trist, skadeligt og unødvendigt, siger udviklingsministeren.;NORMAL
- De unge er udsat for et enormt pres fra alle mulige kanter i deres liv. Og vi ville gerne lave en serie, der kunne lette noget af det pres hos dem, siger holdet bag SKAM.;NORMAL
 den moderne nordeuropæer er resultatet af flere indvandringsbølger.;TEMA
- Der bliver drukket lidt færre jægerbombs. ??De her seje mænd fra team Mandehørm Vejen vil sammen forsøge at ændre livsstil og få dyrket noget mere motion - ligesom mændene fra tv-programmet Rigtige mænd - DR. Derfor har de tilmeldt sig Rigtige Mænd Sjak;NORMAL
- Der er så mange andre måder, det kan blive delt på, og det er meget usædvanligt, at man slår billederne offentligt op, lyder det fra offer for hævnporno.Tror du, at Facebooks tiltag batter?;NORMAL
- Det angreb på børn gjorde et stort indtryk på mig, Et stort indtryk. Det var en skrækkelig, skrækkelig ting.;NORMAL
- Det burde være alment bekymrende, siger lektor i Østeuropastudier.;NORMAL
- Det er en meget, meget, meget stor næse, siger Simon Kollerup fra Socialdemokratiet.;NORMAL
- Det er jo et mirakel, at han overlever, siger speciallæge.Selv siger Carlos: Min ven reddede mit liv.;NORMAL
- Det er noget, man skal lære at leve med. For man har ikke andre muligheder.En torsdag aften for halvandet år siden får Frederik Moelsby fra Nørresundby en SMS fra sin arbejdsgiver. På det tidspunkt arbejder han om natten som dørmand i Jomfru Ane Gade sa;NORMAL
- Det er vigtigt, at de ikke bliver sat i bås som handicappede, når de kommer her. Vi er nogle frivillige, som tager imod dem med åbne arme.;NORMAL
- Det her angreb rammer lige ind en hidsig, til tider nærmest hadefuld debat, som er et opgør med årtiers konsensus om udlændingepolitikken.;NORMAL
- Det ligner et terroristangreb, men det er ikke noget, vi ved, det kan man kun spekulere i. Under alle omstændigheder er det en forfærdelig ting.;NORMAL
- Det ville være løgn at sige, at hun syntes, det var en smart ide af far, fortæller Christian Ahlefeldt-Laurvig-Lehn.;NORMAL
- Du kan ikke tilbageholde og retsforfølge mennesker, som ganske enkelt ikke eksisterer i republikken, har talsmand for republikkens leder angiveligt sagt.;NORMAL
- For mig lød det bare som en voldtægtsscene.'Lunas' mor forsøgte at forberede datteren på, hvordan bryllupsnatten med hendes fætter ville blive. 'Luna' var ikke interesseret i brylluppet og er nu på et krisecenter for unge med anden etnisk baggrund.;NORMAL
- Han har undskyldt, og det er vi meget tilfredse med, siger Peter Skaarup.DF lader Esben Lunde Larsen blive som minister.;NORMAL
- Historien kan fortælle os en hel masse om, hvor dygtige vi mennesker er til at tilpasse os.På Nationalmuseet kan man bla. finde skelettet af en over 7000 år gammel kvinde og hendes barn, der begge levede dengang, vi stadig jagede med bue og pil og spyd ;TEMA
- Hvis ikke du kan lide Sverige og svenskerne, hvad laver du så her? Sådan tænker jeg i dag. Jeg havde aldrig troet, jeg skulle tænke sådan, siger Eva Ek Törnberg.;NORMAL
- Hvorfor blev min søn sendt hjem fra hospitalet?Det spørger Dion Licht Jensen om, efter hans søn blev sendt hjem fra Hvidovre Hospital med hvad de mente måtte være influenza.Men det var ikke influenza Christopher havde. Det var meningitis. En sygdom han ;NORMAL
- I opfører jer som mafiaen. I tror, vi er gidsler. Det er vi ikke. Vi er frie til at forlade EU, lød det fra Farage under brexit-debat.;NORMAL
- Jeg bruger GPS’en i min mobiltelefon til alt. Men den har samtidig berøvet mig for den lille bitte smule stedsans, jeg havde før, så nu er jeg totalt afhængig af teknologien.Kender du den følelse?;NORMAL
- Jeg er vant til jævnligt at blive ignoreret af forskere fra de store, tyske universiteter, og jeg er ikke så god til at netværke, fortæller Thomas Royan, der angiveligt stod og børstede tænder, da ti-øren pludselig faldt.;NORMAL
- Jeg hilser det velkommen, at Donald J. Trump er trådt i karakter.;NORMAL
- Jeg håber, at tiden vil vise, at jeg har gjort et godt stykke arbejde - og endnu vigtigere at min fars administration er den succes, jeg ved, den bliver, siger Ivanka Trump.;NORMAL
- Jeg synes, at det, der skete i Syrien, er en skændsel mod menneskeheden. Han (Assad) er der, og jeg formoder, at han styrer tingene, så noget skal ske, siger Trump;NORMAL
- Jeg synes, at det, der skete i Syrien, er en skændsel mod menneskeheden. Han (Assad) er der, og jeg formoder, at han styrer tingene, så noget skal ske, siger Trump.;NORMAL
- Jeg tror bare, at man kan mærke, at nu er det nu.Tove Andresen så sin søn dø af meningitis.;NORMAL
- Jeg vil gerne invitere til en åben offentlig samtale, så vi undgår, at beslutningen om fremtidens danske medieindhold udelukkende bliver et mellemværende mellem branchen og politikerne.Er det en god idé, Mette Bock her har fået?;NORMAL
- Jo mindre panik man har, jo lettere får man en  kæreste.;NORMAL
- Kineserne er meget tiltrukket af ravets magiske egenskaber, lyder det.;TEMA
- Lægerne fortalte mig, at det nok kun var halv time fra, at jeg ikke havde overlevet.På trods af klare tegn på meningitis som røde og blå pletter flere steder på kroppen og opkast, blev spanske Carlos Fernandez afvist tre gange hos akuttelefonen 1813 til;NORMAL
 Man har hele værktøjskassen fra stenalderjægerne bevaret under vand.;TEMA
- Man lukker et ministerie for næste år at åbne det igen - alene fordi der er kommet flere partier i regeringen, og der skal være kødben nok at dele ud, tordner Enhedslisten.;NORMAL
- Man skal have lov at være anderledes og have den seksuelle orientering, man ønsker. ??????For nylig blev to mænd i Holland slået ned, da de gik hånd i hånd gennem byen, og de seneste dage har flere mænd vist deres solidaritet ved at tage hinanden i hænd;NORMAL
- Man skal insistere på at det værst tænkelige, det sker jo.I P1 Eftermiddag fortalte Rebecca Bach-Lauritsen om at skrive til børn om det vanskeligste emne af dem alle.;NORMAL
- Mange af stenene ligger knuste tilbage på stedet, fortæller politiet.;NORMAL
- Mange tak. Det er et imponerende tal, sagde EU's menneskeretskommissær på en pressekonference, da konferencen var slut.;NORMAL
- Selvom du er ninja til at reagere, betyder det meget, at du kører lidt for hurtigt.;NORMAL
- Ved angrebet (...) begyndte mange af ofrene at udvise tegn på kvælning eller faldt besvimede om. Det tyder på et gasangreb, siger overvågningsgruppen.;NORMAL
- Vi er jo født med bar røv allesammen!Den fynske badminton-darling ved, hvordan han undgår stjernenykker efter sejr i Indien ??;NORMAL
- Vi er rigtig glade for, at vi har mange tal. Og det lyder jo helt barokt, men det hænger sammen med, at vi har bedt om at have en kultur, hvor vi indberetter alt, hvad vi tænker kunne have haft en utilsigtet hændelse, lyder det.;NORMAL
- Vi føler os ikke bundet af noget parti. Det handler om, hvilken politik vi kan få gennemført, siger Sofie Carsten Nielsen i Slotsholmen på P1.;NORMAL
- Vi føler os pisset på.Frustrationen hober sig op efter flere måneder, hvor Region Syddanmark stadig mangler at betale ambulancereddere løn.;NORMAL
- Vi har været igennem 30-40 års mislykket integrationsindsats, og noget af det, som vi ved virker, er faktisk en ordentlig vuggestue, en ordentlig børnehave og en ordentlig skolegang, siger Mette Frederiksen.Har hun en pointe?;NORMAL
- Vi håber virkelig, at han ikke bliver valgt ind, så vi kan beholde ham, lyder det fra hans chef i DR.;NORMAL
- Vi nægter at acceptere Ruslands annektering af Krim, siger Løkke med henvisning til halvøen, som Rusland annekterede i 2014.;NORMAL
"- Vi skal passe på med at holde fast i gamle myter om ""old men’s network"".Direktør for FYNSK ERHVERV har ikke meget tilovers for kønskvoter. Til gengæld tror hun, at ligestillingen kommer af sig selv.";NORMAL
... Og de holder stadig, skulle vi hilse og sige:????;NORMAL
’Mariams’ far kunne finde på at slå hende, hvis batteriet på hendes mobil var under 60 procent - for hvem havde hun så snakket med?Geetisk Råd har besøgt et krisecenter for unge med anden etnisk baggrund.;NORMAL
”Lækkermås, jeg vil se dig nøgen i min seng.”Nogen har oprettet en falsk Tinder-profil i underviseren Martins navn, så det ser ud som om, han sender frække beskeder til sine elever.;NORMAL
15 procent af danskerne har én eller flere tatoveringer. Én af dem er Louise Kofod, der i dag fik tilføjet endnu en til samlingen hos Sinners Inc i Aarhus, Denmark.Lad os også se din tatovering, og høre hvorfor du fik den.;NORMAL
15-årige Mikkel fra Givskud døde i 2011, fordi lægerne var for længe om at reagere på Mikkels symptomer på meningitis. Lær mere om symptomerne på sygdommen.;NORMAL
38 skeletter fra middelalderen i baghaven :o #HistorienOmDanmark Moesgaard Museum;TEMA
55 konfirmander fra Holstebro har været på pilgrimsrejse til Israel. Ateist, Danny Krog, fra Holstebro, kalder turen for 'lokkemad' og 'PR' – for at skaffe flere medlemmer til folkekirken.Præst Erik Ladegaard fra Holstebro kalder turen 'medlemspleje' for døbte børn, der allerede er medlemmer af folkekirken.Læs mere her: http://dr.dk/l/30H;NORMAL
7. podcast-episode om dobbeltmordet på Peter Bangs Vej ligger og venter på dig!Denne episode er lidt speciel. Der findes enormt mange teorier om dobbeltmordet, og vi har derfor samlet 9 af de helt store teorier.;NORMAL
700.000 kroner af sted til Store-Roberts skulpturer i Tørskind Grusgrav.;NORMAL
Afstemningen baner vej for godkendelsen af den meget konservative dommer Neil Gorsuch som ny højesteretsdommer.;NORMAL
Aftenens udgave af 'Flashback' står i chiliens tegn, når blandt andre Youtuberen Rasmus Brohave kigger forbi. Du kan se med klokken 20.00 i aften.;NORMAL
"Akuttelefonen 1813 i Region Hovedstaden oplever flere ""utilsigtede hændelser"" end lægevagterne i resten af landet.";NORMAL
Alle netbutikker i Danmark bør samles, så man kan modstå den voksende netgigant Amazon, mener Dansk Supermarked.;NORMAL
Alt har forandret sig, efter USA har gennemført et luftangreb mod en syrisk militærbase.Men betyder det, at Trump vil have at Assad går af? Steffen Gram kommer med sin analyse her ??;NORMAL
Amerikanske styrker har her tidlig morgen - dansk tid - affyret 59 Tomahawk-krydsermissiler mod en syrisk luftbase nær byen Homs i Syrien.;NORMAL
Anetts mormor betalte for to telefoner og et bredbånd i tre år uden at vide det. Men reelt brugte hun kun én telefon.Der var ikke meget hjælp at komme efter hos Telenors kundeservice.;NORMAL
Angrebet i Stockholm får endnu engang Københavns Kommune til at genoverveje sikkerheden rundt om i byen.;NORMAL
Anklageren skal bevise en sammenhæng mellem manden i lejligheden og bomben i kælderen.;NORMAL
Anlægget kan omdanne vindenergi til gas, der herefter kan blive lagret.;NORMAL
Antallet af tobaksrelaterede dødsfald verden over er steget med fem procent siden 1990.;NORMAL
Arkæolog Michael Thorsen fra Bornholms Museum skifter tit kalkerpapir, sandposer og vand ud med kamera og pc i jagten på bornholmske helleristninger.Den nye teknik har allerede afsløret i hvert fald syv nye helleristninger alene på Madsebakke - og han tør godt love, at 3D-teknikken vil afsløre flere i de kommende år.#endelafhistorien;TEMA
At forhindre Neil Gorsuch som ny højesteretsdommer i USA ligger senator Jeff Merkley så meget på sinde, at han talte mere end 15 stive timer i træk.;NORMAL
Av ??;NORMAL
Badminton er blevet populært igen - det oplever man bl.a. hos Skanderborg HI Badminton.;NORMAL
Bageren var for en stund tilbage i målet for Viborg HKFem år efter sit karrierestop gav den 34 årige mor til tre en hjælpende hånd og fod til det skrantende hold.Primo Tours ligaenRettelse: Louise Bager Due arbejder i dag som pædagog i en daginstitution i Viborg, og ikke som skrevet i slutningen af vidoen.;NORMAL
"Bare rolig - det er bare en aprilsnar.Men måske er ord som ""bjørnetjeneste"" og ""forfordele"" på vej ud?";NORMAL
Bedste venner og bandmedlemmer. Hvordan tackler SAVEUS det?;NORMAL
Bestyrelsen foreslår formand Vibeke Møller Jensen som ny spidskandidat for Venstre på Bornholm.;NORMAL
Birthe Kjær i 'Danske hitmagere' kl. 14 ??;NORMAL
Blev Bornholm glemt i 1945?Nu har du mulighed for at se eller gense dokumentaren 'Den glemte befrielse  - Da russerne indtog Bornholm' i aften kl. 22.00.;NORMAL
Bliver mordet opklaret?Mads og Julie har færdiggjort det sidste afsnit af 'Dobbeltmordet'. Lyt her.;NORMAL
Bob Dylan...I aften viser vi Todd Haynes' noget anderledes biopic om den amerikanske sangskriver og musiker. Hvilken biografisk film synes du er den mest vellykkede?;NORMAL
Bookmakernes X Factor-favorit vandt ikke ét eneste liveshow.Hvem var din favorit?;NORMAL
Bornholmerne har til alle tider bidraget til at gøre jorden frugtbar - først direkte, siden kom dasset, så porcelæns-indretningen med vand, som vi kender den i dag - og inden længe kan vi blive betjent af et robot-wc.Men udviklingen slår alligevel ikke altid stenalderens aftrædelsesplads...#endelafhistorien;TEMA
BREAKING: Ifølge svensk TV er tre personer blevet dræbt ved en lastbilpåkørsel i Stockholm. Følg situationen her.;NORMAL
BREAKING: Tre meldes dræbt, ifølge medier. #StockholmAttack;NORMAL
"Brian Mikkelsen og Pia Kjærsgaard er gæster i aftenens udgave af Quizzen med Signe Molde, hvor det helt store spørgsmål er: ""Hvor store nosser har Pia egentlig?"" Se med kl. 21:30 på DR2.";NORMAL
Bruger du alt for mange penge på hårlak og den slags produkter?Så kan du måske spare lidt med disse gamle husråd fra 60'erne :D;TEMA
Bubber er blandt gæsterne i morgen aften, når vi igen viser underholdningsprogrammet 'Flashback'. Bubber er til bryllup og under en tale skal han være en del af en rytmisk leg, hvilket ikke just er noget for den glade tv-vært. Se hvordan det ender i morgen aften klokken 20.00;NORMAL
Både Aabenraa og Esbjerg er med på top fem over byer, der har flest tilladelser per indbygger.;NORMAL
Carl Holst har fuld opbakning fra sin kreds, som gerne ser ham valgt som folketingskandidat.;NORMAL
Chili Klaus er gæst i aftenens udgave af 'Flashback' og selvfølgelig handler det om chili.. Skal du se med klokken 20.00?;NORMAL
Copenhagen Airport (CPH) har et gåseproblem. Det stigende antal bramgæs, der trækker gennem Danmark, er nemlig farlige for flytrafikken. Gæssene er så store, at de kan ødelægge en flymotor.;NORMAL
Da bedemand Karl Erik Pedersen skulle begrave en mand, der altid havde interesseret sig for bæredygtighed, fik han idé.- Det var startskuddet til at finde kurvekister, fortæller Karl Erik Pedersen, der har begravelsesforretninger i Ringsted, Faxe, Haslev og Skælskør. Her viser han en lille model frem. Kurvekisterne får han fra England, hvor de bliver lavet af pileflet.;NORMAL
Dagens bedste nyhed! ????;NORMAL
Danmark halter bagefter i det arktiske kapløb, mens Norge er meget bedre til at gøre deres interesser gældende.Det skyldes, at de danske politikere er for berøringsangste over for Grønland, lyder kritikken fra tidl. udenrigsminister Martin Lidegaard.Se hele Deadline - DR-interviewet på DRTV.;NORMAL
Danmarks hovedstad hedder i dag København, men går man tilbage til vikingetiden, kunne valget lige så godt være faldet på Aggersborg. Harald Blåtand havde nemlig et særdeles godt øje til stedet! #HistorienOmDanmark;TEMA
"Danmarks ældste menneske var en fynbo - og nu viser DNA-analyser, at Koelbjergkvinden var en mand! I går blev første afsnit af den nye ""Historien om Danmark"" sendt. Så du med?";TEMA
Dansk Folkeparti accepterer miljø- og fødevareministerens undskyldning.;NORMAL
De dyreste frø til køkkenhaven koster 14 gange så meget som de billigste, men spirer ikke nødvendigvis bedst.;NORMAL
De første turister forventes at blive opsendt allerede i 2018.;NORMAL
De har været i Tyskland, Tanzania, Australien, Indonesien, Kina, Mexico, USA og Spanien, DGI Verdensholdet - og i aften er de i Trekantområdet :-);NORMAL
De her skønne kvinder mangler nogle flere mænd i deres liv. Kom frisk :-)Aabenraa Kommune vil gerne have flere seniorer i idrætsforeningerne. Kommunen er derfor med i projektet 'Bevæg dig for Livet - Senior'. Her er vi hos Aabenraa Senior-idræt, som altså gerne vil have flere mænd op af stolene..;NORMAL
De nye radikale toner skal ses som et første lille skridt på vejen mod en mulig løsrivelse fra 25 års fast forhold med Socialdemokratiet, siger Sofie Carsten Nielsen.;NORMAL
De 'Rigtige mænd - Det nye hold' er mænd og skal have det enkelt, lyder det drilsk fra træner Jacob Søndergaard. Derfor stiller han kun tre enkle krav til dem i jagten på et sundere liv.;NORMAL
De risikerer at få sat deres ydelse ned.;NORMAL
De russiske myndigheder jagter to personer, der mistænkes for at stå bag dagens bombeangreb i Sankt Petersborg.;NORMAL
