;﻿Stream Item ID;Stream ID;Stream Item URL;Published Date;Account;Stream Item Type;Stream Item Text;Klage;Henvendelse
0;23f60d49e55ee4783f0ae61d224c7293;135935;https://vpc1.spredfast.com/item/23f60d49e55ee4783f0ae61d224c7293/company_id/501;2017-10-06T04:27:31-07:00[America/Los_Angeles];Page: Debatten - DR;comment;Mon tro du må selv.;;
1;19d2953fea775aa9d48877c82130ebb9;132189;https://vpc1.spredfast.com/item/19d2953fea775aa9d48877c82130ebb9/company_id/501;2017-10-04T12:28:31-07:00[America/Los_Angeles];Page: DR3;comment;Rolig nu.. Han er ikk født.. Se på Madonna Tina tuner osv..;;
2;94faa9b0d7a91ea347c7e287fd4c0f1a;133517;https://vpc1.spredfast.com/item/94faa9b0d7a91ea347c7e287fd4c0f1a/company_id/501;2017-09-11T22:38:10-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Det er ok, at vi kun får børnepenge til 2 børn. Man sætter vel ikke børn til verden, som man ikke har råd til selv at forsørge.;;
3;e342feb86613f032899bc499b10c2182;133517;https://vpc1.spredfast.com/item/e342feb86613f032899bc499b10c2182/company_id/501;2017-11-07T03:54:03-08:00[America/Los_Angeles];Page: DR Nyheder;comment;Josefine Vonge Larsen siger det bare... Skal vi til Lolland eller hvad;;
5;f4fe2605f06032c77207ad5051ba4c18;132189;https://vpc1.spredfast.com/item/f4fe2605f06032c77207ad5051ba4c18/company_id/501;2017-10-22T07:34:32-07:00[America/Los_Angeles];Page: DR3;comment;Det er så lamt at det ikke er grineren;;
7;c94ce768ee0b0ed63014ca4be8787c97;83691;https://vpc1.spredfast.com/item/c94ce768ee0b0ed63014ca4be8787c97/company_id/501;2017-10-18T01:00:03-07:00[America/Los_Angeles];Page: DR1;comment;Haha børn er så søde 😅;;
8;69e35598c703c61741cd794194d191ed;136223;https://vpc1.spredfast.com/item/69e35598c703c61741cd794194d191ed/company_id/501;2017-11-12T13:50-08:00[America/Los_Angeles];Page: P3 - DR;comment;Marc Rasmussen hjemme og bolle med konen 😂😂;;
9;591711ea2401a6f523b9a0486142997a;136223;https://vpc1.spredfast.com/item/591711ea2401a6f523b9a0486142997a/company_id/501;2017-11-05T05:33:57-08:00[America/Los_Angeles];Page: P3 - DR;comment;Christian Kjems Vester se det hele, fucking fedt haha;;
10;57d4abeb721c72077054ac624911e0d4;133517;https://vpc1.spredfast.com/item/57d4abeb721c72077054ac624911e0d4/company_id/501;2017-11-04T07:14:18-07:00[America/Los_Angeles];Page: DR Nyheder;comment;I bund og grund er jeg enig i de fleste af dine synspunkter, dog retfærdiggør beløbets størrelse fortsat ikke, brugen af det. Og at bruge pengene på fødselsdag har intet med hverken mod, at netværke, eller hvordan andre instanser burde agere anderledes, at gøre.Jeg er fuldstændig enig i, at vores politikere skal være modige, bare de overholder love og regler.;;
12;ee069f37309dae7d88a7314973127d3f;133517;https://vpc1.spredfast.com/item/ee069f37309dae7d88a7314973127d3f/company_id/501;2017-09-19T04:08:33-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Ja men jeg bruger kun 5 så det går lige op 😘;;
13;48b802ef0dbc75ee037ce9e37b710439;133517;https://vpc1.spredfast.com/item/48b802ef0dbc75ee037ce9e37b710439/company_id/501;2017-10-24T01:44:24-07:00[America/Los_Angeles];Page: DR Nyheder;comment;MobilPay 🖒 hvorfor nøjes med  Apple! 🤣;;
14;80d9bb87d14fa01596c82da107350bd2;133517;https://vpc1.spredfast.com/item/80d9bb87d14fa01596c82da107350bd2/company_id/501;2017-09-27T09:35:23-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Det lyder godt nok ulækre;;
18;69f941fd8106885378effa39767d6ef8;135935;https://vpc1.spredfast.com/item/69f941fd8106885378effa39767d6ef8/company_id/501;2017-09-05T11:17:03-07:00[America/Los_Angeles];Page: Debatten - DR;comment;Jeg synes virkelig han har ret;;
20;3aa8aab7cda9e2dc72b1a08bf1c36d8c;136035;https://vpc1.spredfast.com/item/3aa8aab7cda9e2dc72b1a08bf1c36d8c/company_id/501;2017-09-20T20:37:44-07:00[America/Los_Angeles];Page: DR P4 Østjylland;comment;Tror det har været så vi må afsted næste år;;
21;d824c309e1b81ea0ff58fa4024d2c5cf;133517;https://vpc1.spredfast.com/item/d824c309e1b81ea0ff58fa4024d2c5cf/company_id/501;2017-09-22T04:36:32-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Når jeg handler tænker jeg mest på hygiejnen,-når jeg når til frugt og grønsags-afdelingen.🍏🍐🍅🥒;;
22;99fa37c76ace0e92525cc3ccb371c216;136223;https://vpc1.spredfast.com/item/99fa37c76ace0e92525cc3ccb371c216/company_id/501;2017-10-19T01:36:20-07:00[America/Los_Angeles];Page: P3 - DR;comment;Michelle Bromberg Olsen 😂😂😂😂😂;;
26;c94fbba43b898a3d822095cba977082a;132189;https://vpc1.spredfast.com/item/c94fbba43b898a3d822095cba977082a/company_id/501;2017-11-14T12:25:45-08:00[America/Los_Angeles];Page: DR3;comment;Stine Aamand ja haha 😂;;
28;97277771ad967daf8ce6915695a33d6e;136223;https://vpc1.spredfast.com/item/97277771ad967daf8ce6915695a33d6e/company_id/501;2017-11-13T10:28:24-08:00[America/Los_Angeles];Page: P3 - DR;comment;Sindri 'Bugu' Berg Sævarsson Tiesto a tinderbox;;
29;3ff4e37260c062836776a90f606d7490;133517;https://vpc1.spredfast.com/item/3ff4e37260c062836776a90f606d7490/company_id/501;2017-10-26T12:00:23-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Malou Bender Rasmussen Tine Bender Rasmussen Thomas Bender Rasmussen;;
30;4615da700d691242e8459882f26f95d2;136223;https://vpc1.spredfast.com/item/4615da700d691242e8459882f26f95d2/company_id/501;2017-11-14T10:16:12-08:00[America/Los_Angeles];Page: P3 - DR;comment;Alexander kunne være fedt;;
31;a2dce1dc70ad2f6edc736c069ef1e3c3;133517;https://vpc1.spredfast.com/item/a2dce1dc70ad2f6edc736c069ef1e3c3/company_id/501;2017-10-12T10:11:45-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Hvis man betaler en masse skatter og afgifter i Danmark, er det kun rimeligt man får indflydelse på hvad pengene bruges på.;;
33;a82f82b9fb89b1d1ae7e09fcd4258c99;133517;https://vpc1.spredfast.com/item/a82f82b9fb89b1d1ae7e09fcd4258c99/company_id/501;2017-09-27T22:51:33-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Jeg vil hellere i dette fængsel end bo på et plejehjem. Det er helt vanvittigt med disse forhold. Til alle fanger  - God ferie, for i mine øjne er dette fængsel ingen straf.;;
34;73ad66e2cf22e44ab3f46aa3395104d4;133517;https://vpc1.spredfast.com/item/73ad66e2cf22e44ab3f46aa3395104d4/company_id/501;2017-09-09T08:57:31-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Det er hvad der sker når man leger firkantet med nyuddannede politikadetter. Så de står og kikker.I min verden svarer det til, at man trækker hestene ud af stalden, sætter sadler pp og stiller dem ind i stalden igen.;;
36;4e22c6d0484723fa7153754bbbd70a50;135935;https://vpc1.spredfast.com/item/4e22c6d0484723fa7153754bbbd70a50/company_id/501;2017-09-14T23:48:36-07:00[America/Los_Angeles];Page: Debatten - DR;comment;"Hans tal er forældede, og det er ikke helt rigtigt at vi kun kan ""gisne"" om hvor de  forskellige grupper kommer fra - Det meste kriminalitet begås af libanesere, hvis man ser på ikke-vestlige befolkningsgrupper.  Udover selvfølgelig danskere som begår 81% af al kriminalitet. Desuden medregner DST også indvandreres børn- så det er heller ikke rigtigt at de optræder som danskere i statistikken. Jeg fornægter ikke at graden af kriminalitet for unge mandlige indvandrere er ret højt for en enkelt befolkningsgruppe. Det tror jeg nærmere er et spørgsmål om at vise vejen, for folk som kommer til. Og ikke dumpe folk i ghettoer, eller hade dem før de gør entré :)";;
38;90a439a8e9c604ded208b5c1380a3ca2;133517;https://vpc1.spredfast.com/item/90a439a8e9c604ded208b5c1380a3ca2/company_id/501;2017-10-14T05:18:47-07:00[America/Los_Angeles];Page: DR Nyheder;comment;Haha Haha Haha jeg turde ikke sige noget 😂😂😂;;
39;d4b95dee6419ef2090f56aae090a383f;136285;https://vpc1.spredfast.com/item/d4b95dee6419ef2090f56aae090a383f/company_id/501;2017-10-19T04:39:37-07:00[America/Los_Angeles];Page: dr.dk;comment;Victor Gregersen tror på dig!!;;
40;fd19a22f2d1ffff686ba56b853b31ca8;136252;https://vpc1.spredfast.com/item/fd19a22f2d1ffff686ba56b853b31ca8/company_id/501;2017-10-04T12:15:26-07:00[America/Los_Angeles];Page: DR Sporten;comment;Kan vi stille op i double, hvor jeg starter og du slutter?;;
42;edb0cfd8cdf85f7be7462a6761d94956;83691;https://vpc1.spredfast.com/item/edb0cfd8cdf85f7be7462a6761d94956/company_id/501;2017-09-20T00:55:23-07:00[America/Los_Angeles];Page: DR1;comment;Uhhhh glæder mig!!! Men det vil jo aldrig blive ligesom sidste år😂;;
43;ccbf221211f325c500ce84986f9fdde1;136223;https://vpc1.spredfast.com/item/ccbf221211f325c500ce84986f9fdde1/company_id/501;2017-10-26T11:29:30-07:00[America/Los_Angeles];Page: P3 - DR;comment;Haha fedt nok 😍☝🏼;;
